code,title,distance,school_type,credential_level,school_name,locale,carnegie_size_setting,admission_rate_overall,median_family_income,students_with_pell_grant,open_admissions_policy,age_entry,title_iv_eligibility_type
1101,"Computer and Information Sciences, General.",2,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
1102,Computer Programming.,2,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
1108,Computer Software and Media Applications.,2,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
1109,Computer Systems Networking and Telecommunications.,2,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
1205,Culinary Arts and Related Services.,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
1503,Electrical Engineering Technologies/Technicians.,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
1505,Environmental Control Technologies/Technicians.,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
1513,Drafting/Design Engineering Technologies/Technicians.,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
2203,Legal Support Services.,2,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
4602,Carpenters.,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
4603,Electrical and Power Transmission Installers.,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
4604,"Building/Construction Finishing, Management, and Inspection.",0,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
4702,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
4706,Vehicle Maintenance and Repair Technologies.,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
4805,Precision Metal Working.,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
4902,Ground Transportation.,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
5004,Design and Applied Arts.,2,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
5106,Dental Support Services and Allied Professions.,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
5107,Health and Medical Administrative Services.,2,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
5108,Allied Health and Medical Assisting Services.,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
5110,Clinical/Medical Laboratory Science/Research and Allied Professions.,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
5115,Mental and Social Health Services and Allied Professions.,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
5202,"Business Administration, Management and Operations.",2,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
5203,Accounting and Related Services.,2,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
5204,Business Operations Support and Assistant Services.,2,Public,1,Atlantic Technical College,21,-2,,16748.0,,1,26,1
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",3,"Private, nonprofit",3,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
1313,"Teacher Education and Professional Development, Specific Subject Areas.",3,"Private, nonprofit",3,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
2301,"English Language and Literature, General.",3,"Private, nonprofit",3,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
2399,"English Language and Literature/Letters, Other.",0,"Private, nonprofit",3,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
2401,"Liberal Arts and Sciences, General Studies and Humanities.",3,"Private, nonprofit",2,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
3902,Bible/Biblical Studies.,3,"Private, nonprofit",3,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
3903,Missions/Missionary Studies and Missiology.,3,"Private, nonprofit",3,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
3904,Religious Education.,0,"Private, nonprofit",2,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
3904,Religious Education.,3,"Private, nonprofit",3,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
3905,Religious/Sacred Music.,0,"Private, nonprofit",3,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
3905,Religious/Sacred Music.,0,"Private, nonprofit",5,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
3906,Theological and Ministerial Studies.,3,"Private, nonprofit",2,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
3906,Theological and Ministerial Studies.,3,"Private, nonprofit",3,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
3906,Theological and Ministerial Studies.,3,"Private, nonprofit",5,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
4201,"Psychology, General.",3,"Private, nonprofit",3,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
4201,"Psychology, General.",3,"Private, nonprofit",5,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
5009,Music.,3,"Private, nonprofit",2,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
5009,Music.,3,"Private, nonprofit",3,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
5009,Music.,3,"Private, nonprofit",5,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
5115,Mental and Social Health Services and Allied Professions.,0,"Private, nonprofit",3,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
5202,"Business Administration, Management and Operations.",3,"Private, nonprofit",3,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
5401,History.,3,"Private, nonprofit",3,Baptist University of Florida,42,7,0.641,33739.0,0.7795698925,2,26,1
0901,Communication and Media Studies.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
0901,Communication and Media Studies.,1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
0907,"Radio, Television, and Digital Communication.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
0909,"Public Relations, Advertising, and Applied Communication.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
0909,"Public Relations, Advertising, and Applied Communication.",0,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1101,"Computer and Information Sciences, General.",2,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1101,"Computer and Information Sciences, General.",1,"Private, nonprofit",8,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1104,Information Science/Studies.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1104,Information Science/Studies.,1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1107,Computer Science.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1301,"Education, General.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1301,"Education, General.",1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1303,Curriculum and Instruction.,2,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1303,Curriculum and Instruction.,1,"Private, nonprofit",6,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1304,Educational Administration and Supervision.,2,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1304,Educational Administration and Supervision.,1,"Private, nonprofit",6,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1304,Educational Administration and Supervision.,1,"Private, nonprofit",8,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1310,Special Education and Teaching.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1310,Special Education and Teaching.,2,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",1,"Private, nonprofit",8,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1313,"Teacher Education and Professional Development, Specific Subject Areas.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1313,"Teacher Education and Professional Development, Specific Subject Areas.",2,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1313,"Teacher Education and Professional Development, Specific Subject Areas.",1,"Private, nonprofit",8,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1399,"Education, Other.",1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1399,"Education, Other.",1,"Private, nonprofit",6,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1399,"Education, Other.",1,"Private, nonprofit",8,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
1609,"Romance Languages, Literatures, and Linguistics.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2200,Non-Professional General Legal Studies (Undergraduate).,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2201,Law.,1,"Private, nonprofit",7,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2202,Legal Research and Advanced Professional Studies.,1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2299,"Legal Professions and Studies, Other.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2299,"Legal Professions and Studies, Other.",1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2301,"English Language and Literature, General.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2401,"Liberal Arts and Sciences, General Studies and Humanities.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2401,"Liberal Arts and Sciences, General Studies and Humanities.",1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2601,"Biology, General.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2601,"Biology, General.",1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2604,Cell/Cellular Biology and Anatomical Sciences.,1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2609,"Physiology, Pathology and Related Sciences.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2612,Biotechnology.,1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2699,"Biological and Biomedical Sciences, Other.",1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
2701,Mathematics.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
3020,International/Global Studies.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
3105,Health and Physical Education/Fitness.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
3105,Health and Physical Education/Fitness.,2,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
3199,"Parks, Recreation, Leisure, and Fitness Studies, Other.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
3601,Leisure and Recreational Activities.,0,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
3801,Philosophy.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
3906,Theological and Ministerial Studies.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
3906,Theological and Ministerial Studies.,1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
3906,Theological and Ministerial Studies.,1,"Private, nonprofit",7,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
3907,Pastoral Counseling and Specialized Ministries.,1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4005,Chemistry.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4099,"Physical Sciences, Other.",1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4201,"Psychology, General.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4201,"Psychology, General.",1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4228,"Clinical, Counseling and Applied Psychology.",1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4228,"Clinical, Counseling and Applied Psychology.",1,"Private, nonprofit",6,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4228,"Clinical, Counseling and Applied Psychology.",1,"Private, nonprofit",8,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4303,Homeland Security.,2,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4404,Public Administration.,2,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4404,Public Administration.,2,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4407,Social Work.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4407,Social Work.,2,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4407,Social Work.,2,"Private, nonprofit",6,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4504,Criminology.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4510,Political Science and Government.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
4511,Sociology.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5005,Drama/Theatre Arts and Stagecraft.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5006,Film/Video and Photographic Arts.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5006,Film/Video and Photographic Arts.,1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5007,Fine and Studio Arts.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5009,Music.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5107,Health and Medical Administrative Services.,2,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5107,Health and Medical Administrative Services.,1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5110,Clinical/Medical Laboratory Science/Research and Allied Professions.,0,"Private, nonprofit",1,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5112,Medicine.,1,"Private, nonprofit",7,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5122,Public Health.,1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5123,Rehabilitation and Therapeutic Professions.,1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5123,Rehabilitation and Therapeutic Professions.,2,"Private, nonprofit",7,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5132,Bioethics/Medical Ethics.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5132,Bioethics/Medical Ethics.,1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",0,"Private, nonprofit",1,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",2,"Private, nonprofit",6,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",2,"Private, nonprofit",7,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5199,"Health Professions and Related Clinical Sciences, Other.",0,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5202,"Business Administration, Management and Operations.",2,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5202,"Business Administration, Management and Operations.",2,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5202,"Business Administration, Management and Operations.",1,"Private, nonprofit",6,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5203,Accounting and Related Services.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5203,Accounting and Related Services.,2,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5208,Finance and Financial Management Services.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5210,Human Resources Management and Services.,1,"Private, nonprofit",5,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5210,Human Resources Management and Services.,1,"Private, nonprofit",6,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5211,International Business.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5214,Marketing.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5218,"General Sales, Merchandising and Related Marketing Operations.",1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
5401,History.,1,"Private, nonprofit",3,Barry University,21,13,0.5907,28822.0,0.7126805778,2,26,1
0301,Natural Resources Conservation and Research.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
0301,Natural Resources Conservation and Research.,3,"Private, nonprofit",5,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
0901,Communication and Media Studies.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
1104,Information Science/Studies.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
1107,Computer Science.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
1310,Special Education and Teaching.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
1310,Special Education and Teaching.,3,"Private, nonprofit",5,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
1312,"Teacher Education and Professional Development, Specific Levels and Methods.",1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
1313,"Teacher Education and Professional Development, Specific Subject Areas.",1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
1409,Computer Engineering.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
2301,"English Language and Literature, General.",1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
2401,"Liberal Arts and Sciences, General Studies and Humanities.",1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
2601,"Biology, General.",1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
2701,Mathematics.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
3011,Gerontology.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
3101,"Parks, Recreation and Leisure Studies.",1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
3105,Health and Physical Education/Fitness.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
3802,Religion/Religious Studies.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
3802,Religion/Religious Studies.,3,"Private, nonprofit",5,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
3899,"Philosophy and Religious Studies, Other.",0,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
4005,Chemistry.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
4201,"Psychology, General.",1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
4228,"Clinical, Counseling and Applied Psychology.",1,"Private, nonprofit",5,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
4301,Criminal Justice and Corrections.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
4301,Criminal Justice and Corrections.,3,"Private, nonprofit",5,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
4509,International Relations and National Security Studies.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
4510,Political Science and Government.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
4511,Sociology.,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.9985,22913.0,0.866638796,2,20,1
