code,unit_id,distance,school_type,credential_level,school_name,locale,carnegie_size_setting,admission_rate_overall,median_family_income,students_with_pell_grant,open_admissions_policy,age_entry,title_iv_eligibility_type,selectivity_bucket,actual,pred,title,4_yr_working_count,error,school_count,confidence,pct_error,score
1205,132374,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1.0,26.0,1,,22265.0,32497.172,Culinary Arts and Related Services.,28,-10232.171875,6,medium,-0.3148634568681216,-0.3009746758249195
4603,132374,2,Public,1,Atlantic Technical College,21,-2,,16748.0,,1.0,26.0,1,,41177.000000000015,41086.582,Electrical and Power Transmission Installers.,27,90.41796875001457,5,low,0.0022006690330493,0.0020995334415421
4702,132374,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1.0,26.0,1,,47325.00000000001,41659.6,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",48,5665.398437500007,13,medium,0.1359926217489254,0.1327571175191751
4706,132374,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1.0,26.0,1,,42838.99999999996,51169.758,Vehicle Maintenance and Repair Technologies/Technicians.,28,-8330.757812500036,24,high,-0.1628062779391337,-0.1556248134108369
5108,132374,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1.0,26.0,1,,33080.999999999985,34282.832,Allied Health and Medical Assisting Services.,29,-1201.8320312500146,33,high,-0.0350563812859597,-0.0335701563555428
5139,132374,1,Public,1,Atlantic Technical College,21,-2,,16748.0,,1.0,26.0,1,,55723.99999999997,56208.805,"Practical Nursing, Vocational Nursing and Nursing Assistants.",46,-484.8046875000291,47,high,-0.0086250666634055,-0.008409500802617
3906,132408,3,"Private, nonprofit",3,Baptist University of Florida,42,7,0.3599,33739.0,0.7795698925,2.0,26.0,1,mid,42321.99999999996,49480.445,Theological and Ministerial Studies.,30,-7158.445312500036,4,low,-0.144672208733975,-0.1387698620187428
1101,132471,2,"Private, nonprofit",3,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,65950.99999999996,103450.58,"Computer and Information Sciences, General.",32,-37499.57812500005,19,high,-0.3624878546322773,-0.3487446700741549
1304,132471,2,"Private, nonprofit",5,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,79566.99999999994,68930.555,Educational Administration and Supervision.,91,10636.445312499942,20,high,0.1543066838896158,0.1525645278264725
1313,132471,2,"Private, nonprofit",5,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,69283.99999999999,59614.156,"Teacher Education and Professional Development, Specific Subject Areas.",20,9669.843749999984,8,medium,0.1622071728977961,0.1517983810305916
2201,132471,1,"Private, nonprofit",7,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,82024.00000000001,100120.484,Law.,302,-18096.484374999985,8,medium,-0.1807470717702466,-0.1802435494508815
2401,132471,1,"Private, nonprofit",3,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,51734.00000000003,58434.527,"Liberal Arts and Sciences, General Studies and Humanities.",44,-6700.527343749971,12,medium,-0.1146672634884697,-0.1116503158780632
2601,132471,1,"Private, nonprofit",3,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,60470.99999999997,56796.52,"Biology, General.",41,3674.480468749971,24,high,0.0646955218220411,0.0628489140826252
3105,132471,1,"Private, nonprofit",3,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,47018.99999999997,54610.363,"Sports, Kinesiology, and Physical Education/Fitness.",26,-7591.363281250029,18,high,-0.1390095730027208,-0.1323441978504633
3105,132471,2,"Private, nonprofit",5,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,56461.99999999997,58413.465,"Sports, Kinesiology, and Physical Education/Fitness.",29,-1951.464843750029,6,medium,-0.0334077913195184,-0.0319914588143399
4201,132471,1,"Private, nonprofit",3,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,44015.99999999998,54721.094,"Psychology, General.",29,-10705.093750000022,29,high,-0.1956301129306287,-0.1873363204651116
4228,132471,1,"Private, nonprofit",5,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,57962.000000000015,70028.48,"Clinical, Counseling and Applied Psychology.",55,-12066.476562499984,9,medium,-0.1723081402710614,-0.1688075605227418
4404,132471,2,"Private, nonprofit",3,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,97701.99999999994,64534.418,Public Administration.,70,33167.58203124994,7,medium,0.5139518271833015,0.5060676002132478
4404,132471,2,"Private, nonprofit",5,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,81624.99999999996,80072.555,Public Administration.,111,1552.4453124999563,10,medium,0.0193879827933391,0.0192144770436397
4407,132471,2,"Private, nonprofit",5,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,64500.00000000002,67699.19,Social Work.,226,-3199.187499999978,9,medium,-0.0472559216460312,-0.0470715446818784
5107,132471,2,"Private, nonprofit",3,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,89971.00000000003,64506.734,Health and Medical Administrative Services.,27,25464.26562500003,18,high,0.394753600096502,0.3766120084960346
5109,132471,1,"Private, nonprofit",3,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,134968.0,68777.76,"Allied Health Diagnostic, Intervention, and Treatment Professions.",30,66190.2421875,7,medium,0.9623785987316712,0.9231154105164512
5109,132471,1,"Private, nonprofit",5,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,127659.99999999996,137557.16,"Allied Health Diagnostic, Intervention, and Treatment Professions.",167,-9897.156250000044,9,medium,-0.0719494101202026,-0.0715499625823932
5112,132471,1,"Private, nonprofit",7,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,111889.99999999993,84172.77,Medicine.,85,27717.226562499927,7,medium,0.3292896910790344,0.3252632971925759
5123,132471,2,"Private, nonprofit",5,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,75401.99999999994,73499.32,Rehabilitation and Therapeutic Professions.,66,1902.6796874999416,9,medium,0.0258870378584487,0.0254617047144003
5138,132471,1,"Private, nonprofit",3,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,93608.0,80868.68,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",164,12739.320312499984,57,high,0.1575309546505323,0.1566376698642309
5138,132471,1,"Private, nonprofit",5,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,145767.00000000003,121505.52,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",212,24261.47656250003,18,high,0.199673857419162,0.1988345681927256
5138,132471,2,"Private, nonprofit",6,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,138165.99999999988,128412.17,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",29,9753.828124999884,8,medium,0.0759571930182329,0.0727369669205266
5202,132471,2,"Private, nonprofit",3,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,64210.00000000001,76654.87,"Business Administration, Management and Operations.",197,-12444.867187499993,58,high,-0.1623493411978588,-0.1616060164915927
5202,132471,2,"Private, nonprofit",5,Barry University,21,13,0.7724,28822.0,0.7126805778,2.0,26.0,1,open,84090.00000000004,76308.555,"Business Administration, Management and Operations.",92,7781.445312500044,35,high,0.1019734333112026,0.1008367521473701
901,132602,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.8824,22913.0,0.866638796,2.0,20.0,1,open,30852.000000000004,51155.47,Communication and Media Studies.,27,-20303.46875,15,medium,-0.3968973258601994,-0.3786572155956872
1313,132602,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.8824,22913.0,0.866638796,2.0,20.0,1,open,33933.000000000015,49343.832,"Teacher Education and Professional Development, Specific Subject Areas.",39,-15410.832031249984,11,medium,-0.3123152661003331,-0.3028727983182477
2401,132602,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.8824,22913.0,0.866638796,2.0,20.0,1,open,42126.99999999999,46578.777,"Liberal Arts and Sciences, General Studies and Humanities.",113,-4451.777343750015,12,medium,-0.0955752296994837,-0.0947375945789906
4201,132602,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.8824,22913.0,0.866638796,2.0,20.0,1,open,37792.99999999997,36464.56,"Psychology, General.",47,1328.441406249971,29,high,0.0364310294017288,0.0355428857245408
4301,132602,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.8824,22913.0,0.866638796,2.0,20.0,1,open,46540.00000000003,46783.97,Criminal Justice and Corrections.,31,-243.9687499999709,23,high,-0.0052147937962183,-0.0050098134087275
5138,132602,1,"Private, nonprofit",3,Bethune-Cookman University,13,11,0.8824,22913.0,0.866638796,2.0,20.0,1,open,76641.00000000003,82966.63,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",22,-6325.632812499971,57,high,-0.0762430943388476,-0.0718385374606183
5210,132602,3,"Private, nonprofit",5,Bethune-Cookman University,13,11,0.8824,22913.0,0.866638796,2.0,20.0,1,open,49834.99999999999,62024.688,Human Resources Management and Services.,24,-12189.687500000016,7,medium,-0.1965296076663024,-0.1862228655240234
901,132657,0,"Private, nonprofit",5,Lynn University,13,11,0.7347,41024.0,0.604197901,2.0,21.0,1,open,74355.99999999997,78052.78,Communication and Media Studies.,23,-3696.781250000029,3,low,-0.0473625819707741,-0.0447581313775546
1003,132657,1,"Private, nonprofit",3,Lynn University,13,11,0.7347,41024.0,0.604197901,2.0,21.0,1,open,36590.0,59872.03,Graphic Communications.,31,-23282.03125,4,low,-0.3888632265169724,-0.373577994163171
1304,132657,3,"Private, nonprofit",5,Lynn University,13,11,0.7347,41024.0,0.604197901,2.0,21.0,1,open,68722.00000000003,65972.195,Educational Administration and Supervision.,21,2749.804687500029,20,high,0.0416812670015698,0.0391463344472674
1304,132657,3,"Private, nonprofit",6,Lynn University,13,11,0.7347,41024.0,0.604197901,2.0,21.0,1,open,83158.00000000006,93211.016,Educational Administration and Supervision.,22,-10053.015624999942,5,low,-0.1078522270956098,-0.101621613388156
2601,132657,1,"Private, nonprofit",3,Lynn University,13,11,0.7347,41024.0,0.604197901,2.0,21.0,1,open,38783.000000000015,55189.27,"Biology, General.",23,-16406.269531249985,24,high,-0.2972728153606057,-0.2809258948993922
3105,132657,1,"Private, nonprofit",3,Lynn University,13,11,0.7347,41024.0,0.604197901,2.0,21.0,1,open,41208.99999999999,50264.445,"Sports, Kinesiology, and Physical Education/Fitness.",20,-9055.445312500016,18,high,-0.1801560776449683,-0.1685955092538285
4201,132657,2,"Private, nonprofit",3,Lynn University,13,11,0.7347,41024.0,0.604197901,2.0,21.0,1,open,47373.0,49428.426,"Psychology, General.",25,-2055.42578125,29,high,-0.0415838811121858,-0.0395003347694634
4301,132657,2,"Private, nonprofit",3,Lynn University,13,11,0.7347,41024.0,0.604197901,2.0,21.0,1,open,68824.0,51716.285,Criminal Justice and Corrections.,21,17107.71484375,23,high,0.3307993757104285,0.3106811267522165
5202,132657,3,"Private, nonprofit",3,Lynn University,13,11,0.7347,41024.0,0.604197901,2.0,21.0,1,open,72801.99999999996,57897.566,"Business Administration, Management and Operations.",22,14904.433593749956,58,high,0.2574276350264876,0.2425560631112264
5202,132657,2,"Private, nonprofit",5,Lynn University,13,11,0.7347,41024.0,0.604197901,2.0,21.0,1,open,77698.99999999994,83000.195,"Business Administration, Management and Operations.",247,-5301.195312500058,35,high,-0.0638696727464409,-0.0636449492099005
5211,132657,2,"Private, nonprofit",3,Lynn University,13,11,0.7347,41024.0,0.604197901,2.0,21.0,1,open,74456.00000000004,54341.41,International Business.,23,20114.589843750044,7,medium,0.3701521507431215,0.349797623002652
5139,132675,1,Public,1,North Florida Technical College,32,-2,,17719.0,,1.0,29.0,1,,52814.99999999999,49270.902,"Practical Nursing, Vocational Nursing and Nursing Assistants.",24,3544.097656249985,47,high,0.071930845339989,0.0681585248036644
1104,132693,1,Public,3,Eastern Florida State College,13,12,,22005.0,0.8466486121,1.0,25.0,1,,70868.99999999997,67766.37,Information Science/Studies.,43,3102.632812499971,5,low,0.0457842576084301,0.0445472570846469
2401,132693,1,Public,2,Eastern Florida State College,13,12,,22005.0,0.8466486121,1.0,25.0,1,,42427.99999999999,43976.85,"Liberal Arts and Sciences, General Studies and Humanities.",1032,-1548.8515625000146,36,high,-0.0352197009897078,-0.0351958236020641
4301,132693,1,Public,1,Eastern Florida State College,13,12,,22005.0,0.8466486121,1.0,25.0,1,,56068.000000000015,54401.77,Criminal Justice and Corrections.,68,1666.2304687500146,19,high,0.0306282402779726,0.0301422276480019
4302,132693,1,Public,1,Eastern Florida State College,13,12,,22005.0,0.8466486121,1.0,25.0,1,,55413.99999999996,62340.598,Fire Protection.,23,-6926.597656250044,6,medium,-0.1111089389043676,-0.1049991000864579
4706,132693,1,Public,1,Eastern Florida State College,13,12,,22005.0,0.8466486121,1.0,25.0,1,,68047.00000000004,45382.996,Vehicle Maintenance and Repair Technologies/Technicians.,28,22664.003906250044,24,high,0.4993941752860882,0.4773656540223327
5109,132693,1,Public,1,Eastern Florida State College,13,12,,22005.0,0.8466486121,1.0,25.0,1,,62987.99999999998,58415.754,"Allied Health Diagnostic, Intervention, and Treatment Professions.",39,4572.246093749978,22,high,0.0782707709479854,0.075904350496678
5109,132693,1,Public,2,Eastern Florida State College,13,12,,22005.0,0.8466486121,1.0,25.0,1,,54621.99999999998,68801.44,"Allied Health Diagnostic, Intervention, and Treatment Professions.",55,-14179.437500000022,39,high,-0.206092169222482,-0.2019052395003426
5110,132693,1,Public,2,Eastern Florida State College,13,12,,22005.0,0.8466486121,1.0,25.0,1,,67936.00000000004,55164.01,Clinical/Medical Laboratory Science/Research and Allied Professions.,20,12771.988281250044,4,low,0.2315275463714852,0.2166704842659531
5122,132693,1,Public,3,Eastern Florida State College,13,12,,22005.0,0.8466486121,1.0,25.0,1,,53408.0,51172.008,Public Health.,49,2235.9921875,12,medium,0.0436956117823816,0.0426805530767684
5138,132693,2,Public,2,Eastern Florida State College,13,12,,22005.0,0.8466486121,1.0,25.0,1,,77666.99999999993,80155.305,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",106,-2488.3046875000728,58,high,-0.0310435434959817,-0.0307503410800023
5202,132693,1,Public,2,Eastern Florida State College,13,12,,22005.0,0.8466486121,1.0,25.0,1,,42612.99999999999,45273.71,"Business Administration, Management and Operations.",28,-2660.7109375000077,26,high,-0.0587694466038601,-0.0561770975773008
5202,132693,3,Public,3,Eastern Florida State College,13,12,,22005.0,0.8466486121,1.0,25.0,1,,54132.99999999996,55413.62,"Business Administration, Management and Operations.",286,-1280.6210937500437,58,high,-0.0231102221524823,-0.0230416442358284
1101,132709,2,Public,3,Broward College,12,15,,20743.0,0.9264472291,1.0,24.0,1,,68626.00000000001,69885.56,"Computer and Information Sciences, General.",32,-1259.5624999999854,19,high,-0.0180232147376646,-0.0173398915219898
1310,132709,1,Public,3,Broward College,12,15,,20743.0,0.9264472291,1.0,24.0,1,,59330.00000000001,51182.062,Special Education and Teaching.,21,8147.937500000007,6,medium,0.1591951770212466,0.1495133927150282
2203,132709,1,Public,2,Broward College,12,15,,20743.0,0.9264472291,1.0,24.0,1,,48911.00000000002,45035.664,Legal Support Services.,21,3875.335937500022,10,medium,0.0860503784760867,0.0808170465406428
2401,132709,2,Public,2,Broward College,12,15,,20743.0,0.9264472291,1.0,24.0,1,,44116.99999999997,41504.113,"Liberal Arts and Sciences, General Studies and Humanities.",1403,2612.886718749971,36,high,0.0629548859662151,0.0629247884374063
4301,132709,2,Public,2,Broward College,12,15,,20743.0,0.9264472291,1.0,24.0,1,,44828.99999999997,45704.36,Criminal Justice and Corrections.,30,-875.3593750000291,10,medium,-0.0191526451080472,-0.0183712541765701
4901,132709,2,Public,2,Broward College,12,15,,20743.0,0.9264472291,1.0,24.0,1,,75637.00000000001,64681.19,Air Transportation.,24,10955.808593750016,5,low,0.1693816758095674,0.1604986719867513
5109,132709,1,Public,1,Broward College,12,15,,20743.0,0.9264472291,1.0,24.0,1,,79695.00000000001,53810.39,"Allied Health Diagnostic, Intervention, and Treatment Professions.",35,25884.60937500001,22,high,0.4810336642115765,0.4645687504364437
