code,title,unit_id,distance,school_type,school_main_campus,credential_level,4_yr_median_earnings,4_yr_working_count,debt_median,debt_median_payment,school_name
3906,Theological and Ministerial Studies.,132408,3,"Private, nonprofit",1,3,31484.0,36.0,23946.0,254.0,Baptist University of Florida
1101,"Computer and Information Sciences, General.",132471,2,"Private, nonprofit",1,3,52714.0,66.0,27750.0,294.0,Barry University
1304,Educational Administration and Supervision.,132471,2,"Private, nonprofit",1,5,69477.0,87.0,51250.0,583.0,Barry University
2201,Law.,132471,1,"Private, nonprofit",1,7,62176.0,197.0,154477.0,1757.0,Barry University
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132471,1,"Private, nonprofit",1,3,40411.0,36.0,38125.0,404.0,Barry University
2601,"Biology, General.",132471,1,"Private, nonprofit",1,3,37193.0,44.0,29750.0,315.0,Barry University
2699,"Biological and Biomedical Sciences, Other.",132471,1,"Private, nonprofit",1,5,46110.0,22.0,63284.0,720.0,Barry University
3105,Health and Physical Education/Fitness.,132471,2,"Private, nonprofit",1,5,41913.0,24.0,57541.0,655.0,Barry University
4201,"Psychology, General.",132471,1,"Private, nonprofit",1,3,40668.0,25.0,25225.0,267.0,Barry University
4228,"Clinical, Counseling and Applied Psychology.",132471,1,"Private, nonprofit",1,5,48538.0,57.0,82000.0,933.0,Barry University
4404,Public Administration.,132471,2,"Private, nonprofit",1,3,65899.0,85.0,33381.0,354.0,Barry University
4404,Public Administration.,132471,2,"Private, nonprofit",1,5,64981.0,149.0,41000.0,466.0,Barry University
4407,Social Work.,132471,2,"Private, nonprofit",1,5,51796.0,309.0,41000.0,466.0,Barry University
4504,Criminology.,132471,1,"Private, nonprofit",1,3,39147.0,21.0,27000.0,286.0,Barry University
5107,Health and Medical Administrative Services.,132471,2,"Private, nonprofit",1,3,52627.0,45.0,31680.0,336.0,Barry University
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132471,1,"Private, nonprofit",1,3,61114.0,18.0,29250.0,310.0,Barry University
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132471,1,"Private, nonprofit",1,5,113178.0,166.0,153850.0,1750.0,Barry University
5112,Medicine.,132471,1,"Private, nonprofit",1,7,106396.0,88.0,278906.0,3173.0,Barry University
5123,Rehabilitation and Therapeutic Professions.,132471,1,"Private, nonprofit",1,5,66650.0,60.0,87000.0,990.0,Barry University
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,1,"Private, nonprofit",1,3,75302.0,124.0,28875.0,306.0,Barry University
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,1,"Private, nonprofit",1,5,124896.0,257.0,82000.0,933.0,Barry University
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,2,"Private, nonprofit",1,6,118549.0,26.0,82685.0,941.0,Barry University
5202,"Business Administration, Management and Operations.",132471,2,"Private, nonprofit",1,3,56586.0,166.0,30350.0,322.0,Barry University
5202,"Business Administration, Management and Operations.",132471,2,"Private, nonprofit",1,5,65950.0,101.0,41000.0,466.0,Barry University
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132602,1,"Private, nonprofit",1,3,31273.0,137.0,31000.0,329.0,Bethune-Cookman University
1304,Educational Administration and Supervision.,132657,3,"Private, nonprofit",1,6,82510.0,18.0,45214.0,514.0,Lynn University
4201,"Psychology, General.",132657,2,"Private, nonprofit",1,3,31818.0,18.0,19375.0,205.0,Lynn University
4301,Criminal Justice and Corrections.,132657,2,"Private, nonprofit",1,3,58830.0,29.0,17250.0,183.0,Lynn University
5202,"Business Administration, Management and Operations.",132657,2,"Private, nonprofit",1,3,48653.0,37.0,17947.0,190.0,Lynn University
5202,"Business Administration, Management and Operations.",132657,3,"Private, nonprofit",1,5,58205.0,151.0,29624.0,337.0,Lynn University
2203,Legal Support Services.,132693,1,Public,1,2,27817.0,22.0,16140.0,171.0,Eastern Florida State College
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132693,3,Public,1,2,32075.0,1107.0,8557.0,91.0,Eastern Florida State College
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132693,1,Public,1,2,42420.0,40.0,15000.0,159.0,Eastern Florida State College
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132693,2,Public,1,2,59537.0,97.0,17118.0,181.0,Eastern Florida State College
5202,"Business Administration, Management and Operations.",132693,1,Public,1,2,25152.0,73.0,19500.0,207.0,Eastern Florida State College
5202,"Business Administration, Management and Operations.",132693,3,Public,1,3,39809.0,88.0,18751.0,199.0,Eastern Florida State College
1101,"Computer and Information Sciences, General.",132709,2,Public,1,3,57222.0,26.0,13491.0,143.0,Broward College
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132709,1,Public,1,2,34817.0,1376.0,5500.0,58.0,Broward College
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132709,1,Public,1,2,48647.0,77.0,8600.0,91.0,Broward College
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132709,1,Public,1,2,68951.0,95.0,9000.0,95.0,Broward College
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132709,1,Public,1,3,94497.0,20.0,8375.0,89.0,Broward College
5202,"Business Administration, Management and Operations.",132709,1,Public,1,2,40582.0,86.0,7285.0,77.0,Broward College
5202,"Business Administration, Management and Operations.",132709,2,Public,1,3,49041.0,133.0,11000.0,117.0,Broward College
4228,"Clinical, Counseling and Applied Psychology.",132842,1,"Private, nonprofit",0,6,74588.0,64.0,151353.0,1722.0,Albizu University-Miami
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132851,3,Public,1,2,33257.0,458.0,9620.0,102.0,College of Central Florida
