"unitid","institution name","year","DRVF2020.Instruction expenses as a percent of total core expenses (GASB)","DRVF2020.Research expenses as a percent of total core expenses (GASB)","DRVF2020.Student service expenses as a percent of total core expenses (GASB)","DRVF2020.Endowment assets (year end) per FTE enrollment (GASB)","DRVF2020.Equity ratio (GASB)"
"132374","Atlantic Technical College","2020","71","0","5",,
"132408","Baptist University of Florida","2020",,,,,
"132471","Barry University","2020",,,,,
"132602","Bethune-Cookman University","2020",,,,,
"132657","Lynn University","2020",,,,,
"132675","North Florida Technical College","2020","63","0","11",,
"132693","Eastern Florida State College","2020","40","0","12","1633","66"
"132709","Broward College","2020","34","0","11","1557","66"
"132842","Albizu University-Miami","2020",,,,,
"132851","College of Central Florida","2020","34","0","9","14949","76"
"132879","Johnson University Florida","2020",,,,,
"132903","University of Central Florida","2020","37","15","5","2659","57"
"132976","Charlotte Technical College","2020","64","0","17",,
"133021","Chipola College","2020","36","0","15","10190","84"
"133155","Lorenzo Walker Technical College","2020","51","0","9",,
"133386","Daytona State College","2020","41","0","13","1499","75"
"133465","South University-West Palm Beach","2020",,,,,
"133492","Eckerd College","2020",,,,,
"133508","Florida SouthWestern State College","2020","38","0","17","3511","66"
"133526","Edward Waters University","2020",,,,,
"133553","Embry-Riddle Aeronautical University-Daytona Beach","2020",,,,,
"133650","Florida Agricultural and Mechanical University","2020","30","10","4","9532","58"
"133669","Florida Atlantic University","2020","38","13","5","10744","59"
"133702","Florida State College at Jacksonville","2020","33","0","14","1653","62"
"133711","Flagler College","2020",,,,,
"133809","Florida College","2020",,,,,
"133845","Concorde Career Institute-Jacksonville","2020",,,,,
"133854","Concorde Career Institute-Miramar","2020",,,,,
"133863","Concorde Career Institute-Tampa","2020",,,,,
"133872","AdventHealth University","2020",,,,,
"133881","Florida Institute of Technology","2020",,,,,
"133951","Florida International University","2020","30","16","8","4389","46"
"133960","The College of the Florida Keys","2020","40","0","10","5033","82"
"133979","Florida Memorial University","2020",,,,,
"133997","Florida Career College-Miami","2020",,,,,
"134024","Florida School of Massage","2020",,,,,
"134079","Florida Southern College","2020",,,,,
"134097","Florida State University","2020","38","17","5","17003","69"
"134130","University of Florida","2020","26","24","1","36791","43"
"134228","Fort Pierce Beauty Academy","2020",,,,,
"134237","Full Sail University","2020",,,,,
"134291","George Stone Technical College","2020","59","0","8",,
"134307","George T Baker Aviation Technical College","2020","59","0","12",,
"134343","Gulf Coast State College","2020","50","0","14","10048","77"
"134422","Key College","2020",,,,,
"134495","Hillsborough Community College","2020","39","0","13","227","71"
"134510","Hobe Sound Bible College","2020",,,,,
"134529","Hollywood Institute of Beauty Careers","2020",,,,,
"134574","Cortiva Institute","2020",,,,,
