"unitid","institution name","year","IC2020.Institution does not accept dual, credit for life, or AP credits","IC2020.Study abroad","IC2020.Academic/career counseling service","IC2020.Employment services for students","IC2020.Placement services for completers","DRVF2020.Instruction expenses as a percent of total core expenses (GASB)","DRVF2020.Research expenses as a percent of total core expenses (GASB)","DRVF2020.Student service expenses as a percent of total core expenses (GASB)","DRVF2020.Endowment assets (year end) per FTE enrollment (GASB)","DRVF2020.Equity ratio (GASB)","DRVHR2020.Total FTE staff","DRVHR2020.Instructional, research and public service FTE","DRVHR2020.Instructional FTE","DRVHR2020.Research FTE","DRVEF122020.Total 12-month unduplicated headcount"
"132374","Atlantic Technical College","2020","Implied no","Implied no","Yes","Implied no","Yes","71","0","5",,,"392","231","231","0","4048"
"132408","Baptist University of Florida","2020","Implied no","Implied no","Yes","Yes","Implied no",,,,,,"82","33","33","0","501"
"132471","Barry University","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"905","387","387","0","8800"
"132602","Bethune-Cookman University","2020","Implied no","Yes","Yes","Implied no","Yes",,,,,,"422","175","175","0","3221"
"132657","Lynn University","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"567","165","165","0","3683"
"132675","North Florida Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","63","0","11",,,"24","11","11","0","258"
"132693","Eastern Florida State College","2020","Implied no","Yes","Yes","Yes","Yes","40","0","12","1633","66","971","457","457","0","20220"
"132709","Broward College","2020","Implied no","Yes","Yes","Yes","Yes","34","0","11","1557","66","1743","650","650","0","57071"
"132842","Albizu University-Miami","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"113","50","50","0","1012"
"132851","College of Central Florida","2020","Implied no","Implied no","Yes","Yes","Yes","34","0","9","14949","76","481","176","176","0","9381"
"132879","Johnson University Florida","2020","Implied no","Yes","Yes","Yes","Implied no",,,,,,"50","17","17","0","196"
"132903","University of Central Florida","2020","Implied no","Yes","Yes","Yes","Yes","37","15","5","2659","57","5685","2047","1776","271","81082"
"132976","Charlotte Technical College","2020","Implied no","Implied no","Yes","Yes","Yes","64","0","17",,,"57","31","31","0","571"
"133021","Chipola College","2020","Implied no","Implied no","Yes","Implied no","Yes","36","0","15","10190","84","185","68","68","0","2544"
"133155","Lorenzo Walker Technical College","2020","Implied no","Implied no","Yes","Implied no","Yes","51","0","9",,,"72","39","39","0","971"
"133386","Daytona State College","2020","Implied no","Implied no","Yes","Yes","Yes","41","0","13","1499","75","1001","397","397","0","19403"
"133465","South University-West Palm Beach","2020","Implied no","Implied no","Yes","Yes","Yes",,,,,,"67","32","32","0","1003"
"133492","Eckerd College","2020","Implied no","Yes","Yes","Yes","Yes",,,,,,"380","164","164","0","2075"
"133508","Florida SouthWestern State College","2020","Implied no","Yes","Yes","Yes","Yes","38","0","17","3511","66","823","338","338","0","21947"
"133526","Edward Waters University","2020","Implied no","Implied no","Yes","Yes","Implied no",,,,,,"179","85","82","0","3298"
"133553","Embry-Riddle Aeronautical University-Daytona Beach","2020","Implied no","Yes","Yes","Yes","Implied no",,,,,,"1532","361","352","9","7521"
