"unitid","institution name","year","DRVHR2020.Total FTE staff","DRVHR2020.Instructional, research and public service FTE","DRVHR2020.Instructional FTE","DRVHR2020.Research FTE"
"132374","Atlantic Technical College","2020","392","231","231","0"
"132408","Baptist University of Florida","2020","82","33","33","0"
"132471","Barry University","2020","905","387","387","0"
"132602","Bethune-Cookman University","2020","422","175","175","0"
"132657","Lynn University","2020","567","165","165","0"
"132675","North Florida Technical College","2020","24","11","11","0"
"132693","Eastern Florida State College","2020","971","457","457","0"
"132709","Broward College","2020","1743","650","650","0"
"132842","Albizu University-Miami","2020","113","50","50","0"
"132851","College of Central Florida","2020","481","176","176","0"
"132879","Johnson University Florida","2020","50","17","17","0"
"132903","University of Central Florida","2020","5685","2047","1776","271"
"132976","Charlotte Technical College","2020","57","31","31","0"
"133021","Chipola College","2020","185","68","68","0"
"133155","Lorenzo Walker Technical College","2020","72","39","39","0"
"133386","Daytona State College","2020","1001","397","397","0"
"133465","South University-West Palm Beach","2020","67","32","32","0"
"133492","Eckerd College","2020","380","164","164","0"
"133508","Florida SouthWestern State College","2020","823","338","338","0"
"133526","Edward Waters University","2020","179","85","82","0"
"133553","Embry-Riddle Aeronautical University-Daytona Beach","2020","1532","361","352","9"
"133650","Florida Agricultural and Mechanical University","2020","1750","683","616","41"
"133669","Florida Atlantic University","2020","3169","1173","1020","106"
"133702","Florida State College at Jacksonville","2020","1571","541","541","0"
"133711","Flagler College","2020","412","166","166","0"
"133809","Florida College","2020","133","42","42","0"
"133845","Concorde Career Institute-Jacksonville","2020","64","24","24","0"
"133854","Concorde Career Institute-Miramar","2020","43","13","13","0"
"133863","Concorde Career Institute-Tampa","2020","40","11","11","0"
"133872","AdventHealth University","2020","310","153","152","1"
"133881","Florida Institute of Technology","2020","924","339","331","8"
"133951","Florida International University","2020","5889","2022","1723","297"
"133960","The College of the Florida Keys","2020","118","47","47","0"
"133979","Florida Memorial University","2020","254","70","70","0"
"133997","Florida Career College-Miami","2020","28","8","8","0"
"134024","Florida School of Massage","2020","17","7","7","0"
"134079","Florida Southern College","2020","597","225","213","0"
"134097","Florida State University","2020","6921","2211","1769","442"
"134130","University of Florida","2020","15211","5476","3053","633"
"134228","Fort Pierce Beauty Academy","2020","9","5","5","0"
"134237","Full Sail University","2020","2227","786","786","0"
"134291","George Stone Technical College","2020","57","26","26","0"
"134307","George T Baker Aviation Technical College","2020","66","38","38","0"
"134343","Gulf Coast State College","2020","397","171","171","0"
"134422","Key College","2020","8","6","6","0"
"134495","Hillsborough Community College","2020","1349","551","551","0"
"134510","Hobe Sound Bible College","2020","37","11","11","0"
"134529","Hollywood Institute of Beauty Careers","2020","21","10","10","0"
"134574","Cortiva Institute","2020","15","7","7","0"
"134608","Indian River State College","2020","995","362","359","0"
"134714","International Academy","2020","16","10","10","0"
"134945","Jacksonville University","2020","584","282","282","0"
"135081","Keiser University-Ft Lauderdale","2020","3049","1443","1443","0"
"135142","La Belle Beauty School","2020","14","7","7","0"
"135160","Florida Gateway College","2020","241","113","113","0"
"135179","Lake Technical College","2020","88","37","37","0"
"135188","Lake-Sumter State College","2020","293","109","109","0"
"135267","Fort Myers Technical College","2020","79","37","37","0"
"135276","Lively Technical College","2020","94","47","47","0"
"135294","Lindsey Hopkins Technical College","2020","112","43","43","0"
"135337","Loraines Academy & Spa","2020","10","5","5","0"
"135391","State College of Florida-Manatee-Sarasota","2020","566","236","236","0"
"135407","Manatee Technical College","2020","181","89","89","0"
"135522","Traviss Technical College","2020","85","33","33","0"
