"unitid","institution name","year","SAL2020_IS.Academic rank","SAL2020_IS.Instructional staff - total","SAL2020_IS.Instructional staff on less than 9-month contract-total","SAL2020_IS.Instructional staff on 9, 10, 11 or 12 month contract-total","IDX_HR"
"132374","Atlantic Technical College","2020",,,,,"-2"
"132408","Baptist University of Florida","2020","Professor","11","0","11","-2"
"132408","Baptist University of Florida","2020","Associate professor","4","0","4","-2"
"132408","Baptist University of Florida","2020","Assistant professor","5","0","5","-2"
"132408","Baptist University of Florida","2020","Instructor","3","0","3","-2"
"132408","Baptist University of Florida","2020","All instructional staff total","23","0","23","-2"
"132471","Barry University","2020","Professor","71","0","71","-2"
"132471","Barry University","2020","Associate professor","90","0","90","-2"
"132471","Barry University","2020","Assistant professor","94","0","94","-2"
"132471","Barry University","2020","Instructor","20","0","20","-2"
"132471","Barry University","2020","All instructional staff total","275","0","275","-2"
"132602","Bethune-Cookman University","2020","Professor","14","0","14","-2"
"132602","Bethune-Cookman University","2020","Associate professor","33","0","33","-2"
"132602","Bethune-Cookman University","2020","Assistant professor","68","0","68","-2"
"132602","Bethune-Cookman University","2020","Instructor","37","0","37","-2"
"132602","Bethune-Cookman University","2020","All instructional staff total","152","0","152","-2"
"132657","Lynn University","2020","Professor","26","0","26","-2"
"132657","Lynn University","2020","Associate professor","50","0","50","-2"
"132657","Lynn University","2020","Assistant professor","38","0","38","-2"
"132657","Lynn University","2020","Instructor","5","0","5","-2"
"132657","Lynn University","2020","Lecturer","1","0","1","-2"
"132657","Lynn University","2020","No academic rank","2","0","2","-2"
"132657","Lynn University","2020","All instructional staff total","122","0","122","-2"
"132675","North Florida Technical College","2020",,,,,"-2"
"132693","Eastern Florida State College","2020","Professor","52","0","52","-2"
"132693","Eastern Florida State College","2020","Associate professor","47","0","47","-2"
"132693","Eastern Florida State College","2020","Assistant professor","52","0","52","-2"
"132693","Eastern Florida State College","2020","Instructor","114","0","114","-2"
"132693","Eastern Florida State College","2020","All instructional staff total","265","0","265","-2"
