"unitid","institution name","year","DRVEF122020.Total 12-month unduplicated headcount"
"132374","Atlantic Technical College","2020","4048"
"132408","Baptist University of Florida","2020","501"
"132471","Barry University","2020","8800"
"132602","Bethune-Cookman University","2020","3221"
"132657","Lynn University","2020","3683"
"132675","North Florida Technical College","2020","258"
"132693","Eastern Florida State College","2020","20220"
"132709","Broward College","2020","57071"
"132842","Albizu University-Miami","2020","1012"
"132851","College of Central Florida","2020","9381"
"132879","Johnson University Florida","2020","196"
"132903","University of Central Florida","2020","81082"
"132976","Charlotte Technical College","2020","571"
"133021","Chipola College","2020","2544"
"133155","Lorenzo Walker Technical College","2020","971"
"133386","Daytona State College","2020","19403"
"133465","South University-West Palm Beach","2020","1003"
"133492","Eckerd College","2020","2075"
"133508","Florida SouthWestern State College","2020","21947"
"133526","Edward Waters University","2020","3298"
"133553","Embry-Riddle Aeronautical University-Daytona Beach","2020","7521"
"133650","Florida Agricultural and Mechanical University","2020","10696"
"133669","Florida Atlantic University","2020","37930"
"133702","Florida State College at Jacksonville","2020","36962"
"133711","Flagler College","2020","3104"
"133809","Florida College","2020","554"
"133845","Concorde Career Institute-Jacksonville","2020","1133"
"133854","Concorde Career Institute-Miramar","2020","809"
"133863","Concorde Career Institute-Tampa","2020","759"
"133872","AdventHealth University","2020","2302"
"133881","Florida Institute of Technology","2020","7495"
"133951","Florida International University","2020","73970"
"133960","The College of the Florida Keys","2020","1433"
"133979","Florida Memorial University","2020","1331"
"133997","Florida Career College-Miami","2020","645"
"134024","Florida School of Massage","2020","130"
"134079","Florida Southern College","2020","3711"
"134097","Florida State University","2020","47836"
"134130","University of Florida","2020","58857"
"134228","Fort Pierce Beauty Academy","2020","36"
"134237","Full Sail University","2020","30529"
"134291","George Stone Technical College","2020","1007"
"134307","George T Baker Aviation Technical College","2020","1648"
"134343","Gulf Coast State College","2020","6592"
"134422","Key College","2020","31"
"134495","Hillsborough Community College","2020","41153"
"134510","Hobe Sound Bible College","2020","277"
"134529","Hollywood Institute of Beauty Careers","2020","421"
"134574","Cortiva Institute","2020","198"
"134608","Indian River State College","2020","23557"
"134714","International Academy","2020","243"
"134945","Jacksonville University","2020","5580"
"135081","Keiser University-Ft Lauderdale","2020","30930"
"135142","La Belle Beauty School","2020","455"
"135160","Florida Gateway College","2020","4773"
"135179","Lake Technical College","2020","1103"
"135188","Lake-Sumter State College","2020","5952"
"135267","Fort Myers Technical College","2020","1136"
"135276","Lively Technical College","2020","1749"
"135294","Lindsey Hopkins Technical College","2020","1668"
"135337","Loraines Academy & Spa","2020","180"
"135391","State College of Florida-Manatee-Sarasota","2020","13348"
"135407","Manatee Technical College","2020","1564"
"135522","Traviss Technical College","2020","544"
"135559","Merryfield Academy","2020","118"
"135610","Trinity International University-Florida","2020","259"
"135647","Miami Lakes Educational Center and Technical College","2020","1631"
"135717","Miami Dade College","2020","83464"
"135726","University of Miami","2020","19971"
"135735","Orange Technical College-South Campus","2020","3123"
"136109","Paul Mitchell the School-Jacksonville","2020","271"
"136145","North Florida College","2020","1739"
"136172","University of North Florida","2020","20515"
"136215","Nova Southeastern University","2020","23608"
"136233","Northwest Florida State College","2020","7656"
"136303","Orange Technical College","2020","1194"
"136330","Palm Beach Atlantic University","2020","4180"
"136358","Palm Beach State College","2020","42956"
"136400","Pasco-Hernando State College","2020","14898"
"136473","Pensacola State College","2020","13357"
"136491","Pinellas Technical College-Clearwater","2020","1012"
"136516","Polk State College","2020","15274"
"136659","Radford M Locklin Technical College","2020","660"
"136701","Saint Vincent de Paul Regional Seminary","2020","141"
"136765","Ridge Technical College","2020","412"
"136774","Ringling College of Art and Design","2020","1675"
"136826","Robert Morgan Educational Center and Technical College","2020","1471"
"136950","Rollins College","2020","3363"
"137023","First Coast Technical College","2020","611"
"137032","Saint Leo University","2020","18191"
"137078","St Petersburg College","2020","37959"
"137087","Pinellas Technical College-St. Petersburg","2020","1683"
"137096","Santa Fe College","2020","19449"
"137120","Suncoast Technical College","2020","2101"
"137209","Seminole State College of Florida","2020","25235"
"137245","Sheridan Technical College","2020","2093"
"137272","St. John Vianney College Seminary","2020","70"
"137281","Saint Johns River State College","2020","9709"
"137315","South Florida State College","2020","3801"
"137351","University of South Florida","2020","60343"
"137476","St. Thomas University","2020","5901"
"137546","Stetson University","2020","4725"
"137564","Southeastern University","2020","11672"
"137591","Bene's Career Academy","2020","422"
"137713","Riveroak Technical College","2020","201"
"137759","Tallahassee Community College","2020","16528"
"137777","Talmudic College of Florida","2020","33"
"137847","The University of Tampa","2020","10771"
"137856","Big Bend Technical College","2020","246"
"137865","Tom P. Haney Technical College","2020","540"
"137953","Trinity Baptist College","2020","406"
"137962","Trinity College of Florida","2020","249"
"138187","Valencia College","2020","64593"
"138275","Warner University","2020","1192"
"138284","Florida Panhandle Technical College","2020","370"
"138293","Webber International University","2020","797"
"138309","Rasmussen University-Florida","2020","15426"
"138354","University of West Florida","2020","15944"
"138372","Orange Technical College-West Campus","2020","1981"
"138479","William T McFatter Technical College","2020","1495"
"138488","Orange Technical College-East Campus","2020","1974"
"138497","Withlacoochee Technical College","2020","496"
"186274","Robert Fiance Beauty Schools","2020","154"
"244233","City College-Hollywood","2020","407"
"244279","Meridian College","2020","279"
