"unitid","institution name","year","C2020_A.First or Second Major","C2020_A.CIP Code -  2020 Classification","CipTitle","C2020_A.Award Level code","C2020_A.Grand total","IDX_C"
"132374","Atlantic Technical College","2020","First major","'11.0103'","Information Technology","Certificates of less than 1 year","7","-2"
"132374","Atlantic Technical College","2020","First major","'11.0103'","Information Technology","Certificates of at least 12 weeks but less than 1 year","7","-2"
"132374","Atlantic Technical College","2020","First major","'11.0203'","Computer Programming, Vendor/Product Certification","Certificates of at least 1 but less than 2 years","10","-2"
"132374","Atlantic Technical College","2020","First major","'11.0801'","Web Page, Digital/Multimedia and Information Resources Design","Certificates of at least 1 but less than 2 years","40","-2"
"132374","Atlantic Technical College","2020","First major","'11.0901'","Computer Systems Networking and Telecommunications","Certificates of at least 1 but less than 2 years","34","-2"
"132374","Atlantic Technical College","2020","First major","'12.0503'","Culinary Arts/Chef Training","Certificates of at least 1 but less than 2 years","47","-2"
"132374","Atlantic Technical College","2020","First major","'15.0303'","Electrical, Electronic, and Communications Engineering Technology/Technician","Certificates of at least 1 but less than 2 years","0","-2"
"132374","Atlantic Technical College","2020","First major","'15.1301'","Drafting and Design Technology/Technician, General","Certificates of at least 1 but less than 2 years","21","-2"
"132374","Atlantic Technical College","2020","First major","'22.0301'","Legal Administrative Assistant/Secretary","Certificates of at least 1 but less than 2 years","9","-2"
"132374","Atlantic Technical College","2020","First major","'22.0303'","Court Reporting and Captioning/Court Reporter","Certificates of less than 1 year","5","-2"
"132374","Atlantic Technical College","2020","First major","'22.0303'","Court Reporting and Captioning/Court Reporter","Certificates of at least 1 but less than 2 years","1","-2"
"132374","Atlantic Technical College","2020","First major","'22.0303'","Court Reporting and Captioning/Court Reporter","Certificates of at least 12 weeks but less than 1 year","5","-2"
"132374","Atlantic Technical College","2020","First major","'46.0201'","Carpentry/Carpenter","Certificates of at least 1 but less than 2 years","12","-2"
"132374","Atlantic Technical College","2020","First major","'46.0302'","Electrician","Certificates of at least 1 but less than 2 years","33","-2"
"132374","Atlantic Technical College","2020","First major","'46.0303'","Lineworker","Certificates of at least 2 but less than 4 years","0","-2"
"132374","Atlantic Technical College","2020","First major","'47.0201'","Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician","Certificates of at least 1 but less than 2 years","68","-2"
"132374","Atlantic Technical College","2020","First major","'47.0603'","Autobody/Collision and Repair Technology/Technician","Certificates of at least 1 but less than 2 years","5","-2"
"132374","Atlantic Technical College","2020","First major","'47.0604'","Automobile/Automotive Mechanics Technology/Technician","Certificates of at least 2 but less than 4 years","24","-2"
"132374","Atlantic Technical College","2020","First major","'48.0503'","Machine Shop Technology/Assistant","Certificates of at least 1 but less than 2 years","18","-2"
"132374","Atlantic Technical College","2020","First major","'48.0508'","Welding Technology/Welder","Certificates of at least 1 but less than 2 years","8","-2"
