program_percentage_resources,program_percentage_architecture,program_percentage_ethnic_cultural_gender,program_percentage_communication,program_percentage_communications_technology,program_percentage_computer,program_percentage_personal_culinary,program_percentage_education,program_percentage_engineering,program_percentage_engineering_technology,program_percentage_language,program_percentage_family_consumer_science,program_percentage_legal,program_percentage_english,program_percentage_humanities,program_percentage_library,program_percentage_biological,program_percentage_mathematics,program_percentage_military,program_percentage_multidiscipline,program_percentage_parks_recreation_fitness,program_percentage_philosophy_religious,program_percentage_theology_religious_vocation,program_percentage_physical_science,program_percentage_science_technology,program_percentage_psychology,program_percentage_security_law_enforcement,program_percentage_public_administration_social_service,program_percentage_social_science,program_percentage_construction,program_percentage_mechanic_repair_technology,program_percentage_precision_production,program_percentage_transportation,program_percentage_visual_performing,program_percentage_health,program_percentage_business_marketing,program_percentage_history,instructional_expenditure_per_fte,faculty_salary,ft_faculty_rate,program_reporter_programs_offered,student_faculty_ratio,endowment_begin,endowment_end,dolflag,school_name,unit_id,has_endowment
0.0,0.0,0.0,0.0,0.0,0.1043,0.0313,0.0,0.0,0.1913,0.0,0.0,0.0278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0765,0.0591,0.033,0.0,0.0,0.4017,0.0748,0.0,19483.0,,,47.0,17.0,,,1.0,Atlantic Technical College,132374,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.037,0.2407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3519,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111,0.0,0.0185,0.0185,9992.0,5515.0,1.0,,8.0,8589732.0,7970708.0,0.0,Baptist University of Florida,132408,1
0.0,0.0,0.0,0.0366,0.0,0.0539,0.0,0.0173,0.0,0.0,0.0,0.0,0.0077,0.0019,0.0135,0.0,0.1522,0.0019,0.0,0.0,0.0405,0.0019,0.0019,0.0096,0.0,0.0636,0.0289,0.0829,0.0385,0.0,0.0,0.0,0.0,0.0366,0.2216,0.1888,0.0,11546.0,8861.0,0.283,,7.0,53988781.0,58752320.0,0.0,Barry University,132471,1
0.0034,0.0,0.0,0.1,0.0,0.0207,0.0,0.031,0.0138,0.0,0.0,0.0,0.0,0.0069,0.2207,0.0,0.0448,0.0034,0.0,0.0138,0.1,0.0,0.0,0.0,0.0,0.1414,0.0793,0.0,0.031,0.0,0.0,0.0,0.0,0.0172,0.0138,0.1586,0.0,11053.0,7167.0,0.76,,17.0,36303752.0,41110832.0,1.0,Bethune-Cookman University,132602,1
0.0051,0.0,0.0,0.0696,0.017,0.0,0.0,0.0357,0.0,0.0,0.0,0.0,0.0,0.0,0.0017,0.0,0.0628,0.0,0.0136,0.0068,0.0696,0.0,0.0,0.0,0.0,0.0951,0.0594,0.0,0.0119,0.0,0.0,0.0,0.0611,0.107,0.0051,0.3786,0.0,7523.0,6894.0,0.4331,,16.0,37840050.0,42918486.0,0.0,Lynn University,132657,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1343,0.5821,0.0,0.2836,0.0,0.0,24725.0,,,5.0,7.0,,,1.0,North Florida Technical College,132675,0
0.0,0.0,0.0,0.0007,0.0019,0.0713,0.011,0.0024,0.0,0.038,0.0,0.0129,0.0014,0.0,0.3991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0603,0.0,0.0543,0.0,0.0,0.0,0.0115,0.0081,0.0,0.0012,0.1706,0.1515,0.0,4778.0,6880.0,0.3651,,22.0,19989561.0,22555029.0,1.0,Eastern Florida State College,132693,1
0.0059,0.0,0.0,0.0014,0.001,0.0992,0.0023,0.0092,0.0,0.0119,0.0,0.0155,0.0028,0.0,0.397,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0,0.0001,0.0,0.0528,0.0,0.0001,0.0,0.0035,0.0,0.0261,0.0086,0.1196,0.2407,0.0,3883.0,6877.0,0.3117,,31.0,44981606.0,45145927.0,1.0,Broward College,132709,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5578.0,6867.0,0.9444,,12.0,,,0.0,Albizu University-Miami,132842,0
0.0,0.0,0.0,0.0031,0.0,0.0521,0.0,0.0121,0.0,0.013,0.0,0.0202,0.0004,0.0,0.3007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126,0.0,0.0481,0.0,0.0,0.0,0.0,0.0067,0.0,0.0013,0.1528,0.3371,0.0,6055.0,7331.0,0.4306,,19.0,81612755.0,88387344.0,1.0,College of Central Florida,132851,1
