code,title,unit_id,distance,school.type,credential.level,earnings.4_yr.overall_median_earnings,earnings.4_yr.working_not_enrolled.overall_count,id,school.name,latest.school.locale,latest.school.carnegie_size_setting,latest.admissions.admission_rate.overall,latest.student.demographics.median_family_income,latest.student.students_with_pell_grant,latest.school.open_admissions_policy,latest.student.demographics.age_entry,latest.school.title_iv.eligibility_type
1205,Culinary Arts and Related Services.,132374,1,Public,1,22265,28,132374,Atlantic Technical College,21,-2,,16748,,1,26,1
4603,Electrical and Power Transmission Installers.,132374,2,Public,1,41177,27,132374,Atlantic Technical College,21,-2,,16748,,1,26,1
4702,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",132374,1,Public,1,47325,48,132374,Atlantic Technical College,21,-2,,16748,,1,26,1
4706,Vehicle Maintenance and Repair Technologies/Technicians.,132374,1,Public,1,42839,28,132374,Atlantic Technical College,21,-2,,16748,,1,26,1
5108,Allied Health and Medical Assisting Services.,132374,1,Public,1,33081,29,132374,Atlantic Technical College,21,-2,,16748,,1,26,1
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",132374,1,Public,1,55724,46,132374,Atlantic Technical College,21,-2,,16748,,1,26,1
3906,Theological and Ministerial Studies.,132408,3,"Private, nonprofit",3,42322,30,132408,Baptist University of Florida,42,7,0.3599,33739,0.7795698925,2,26,1
4201,"Psychology, General.",132408,3,"Private, nonprofit",3,40963,16,132408,Baptist University of Florida,42,7,0.3599,33739,0.7795698925,2,26,1
1101,"Computer and Information Sciences, General.",132471,2,"Private, nonprofit",3,65951,32,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
1304,Educational Administration and Supervision.,132471,2,"Private, nonprofit",5,79567,91,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132471,2,"Private, nonprofit",5,69284,20,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
2201,Law.,132471,1,"Private, nonprofit",7,82024,302,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132471,1,"Private, nonprofit",3,51734,44,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
2601,"Biology, General.",132471,1,"Private, nonprofit",3,60471,41,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
2699,"Biological and Biomedical Sciences, Other.",132471,1,"Private, nonprofit",5,64792,37,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
3105,"Sports, Kinesiology, and Physical Education/Fitness.",132471,1,"Private, nonprofit",3,47019,26,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
3105,"Sports, Kinesiology, and Physical Education/Fitness.",132471,2,"Private, nonprofit",5,56462,29,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
4201,"Psychology, General.",132471,1,"Private, nonprofit",3,44016,29,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
4228,"Clinical, Counseling and Applied Psychology.",132471,1,"Private, nonprofit",5,57962,55,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
4404,Public Administration.,132471,2,"Private, nonprofit",3,97702,70,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
4404,Public Administration.,132471,2,"Private, nonprofit",5,81625,111,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
4407,Social Work.,132471,1,"Private, nonprofit",3,61820,19,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
4407,Social Work.,132471,2,"Private, nonprofit",5,64500,226,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
4504,Criminology.,132471,1,"Private, nonprofit",3,51180,19,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
5107,Health and Medical Administrative Services.,132471,2,"Private, nonprofit",3,89971,27,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132471,1,"Private, nonprofit",3,134968,30,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132471,1,"Private, nonprofit",5,127660,167,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
5112,Medicine.,132471,1,"Private, nonprofit",7,111890,85,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
5123,Rehabilitation and Therapeutic Professions.,132471,2,"Private, nonprofit",5,75402,66,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,1,"Private, nonprofit",3,93608,164,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,1,"Private, nonprofit",5,145767,212,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,2,"Private, nonprofit",6,138166,29,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
5202,"Business Administration, Management and Operations.",132471,2,"Private, nonprofit",3,64210,197,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
5202,"Business Administration, Management and Operations.",132471,2,"Private, nonprofit",5,84090,92,132471,Barry University,21,13,0.7724,28822,0.7126805778,2,26,1
0901,Communication and Media Studies.,132602,1,"Private, nonprofit",3,30852,27,132602,Bethune-Cookman University,13,11,0.8824,22913,0.866638796,2,20,1
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132602,1,"Private, nonprofit",3,33933,39,132602,Bethune-Cookman University,13,11,0.8824,22913,0.866638796,2,20,1
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132602,1,"Private, nonprofit",3,42127,113,132602,Bethune-Cookman University,13,11,0.8824,22913,0.866638796,2,20,1
3011,Gerontology.,132602,1,"Private, nonprofit",3,51623,16,132602,Bethune-Cookman University,13,11,0.8824,22913,0.866638796,2,20,1
4201,"Psychology, General.",132602,1,"Private, nonprofit",3,37793,47,132602,Bethune-Cookman University,13,11,0.8824,22913,0.866638796,2,20,1
4301,Criminal Justice and Corrections.,132602,1,"Private, nonprofit",3,46540,31,132602,Bethune-Cookman University,13,11,0.8824,22913,0.866638796,2,20,1
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132602,1,"Private, nonprofit",3,76641,22,132602,Bethune-Cookman University,13,11,0.8824,22913,0.866638796,2,20,1
5202,"Business Administration, Management and Operations.",132602,1,"Private, nonprofit",3,50413,19,132602,Bethune-Cookman University,13,11,0.8824,22913,0.866638796,2,20,1
5210,Human Resources Management and Services.,132602,3,"Private, nonprofit",5,49835,24,132602,Bethune-Cookman University,13,11,0.8824,22913,0.866638796,2,20,1
0901,Communication and Media Studies.,132657,1,"Private, nonprofit",3,53858,19,132657,Lynn University,13,11,0.7347,41024,0.604197901,2,21,1
0901,Communication and Media Studies.,132657,0,"Private, nonprofit",5,74356,23,132657,Lynn University,13,11,0.7347,41024,0.604197901,2,21,1
0907,"Radio, Television, and Digital Communication.",132657,2,"Private, nonprofit",3,39215,19,132657,Lynn University,13,11,0.7347,41024,0.604197901,2,21,1
1003,Graphic Communications.,132657,1,"Private, nonprofit",3,36590,31,132657,Lynn University,13,11,0.7347,41024,0.604197901,2,21,1
1304,Educational Administration and Supervision.,132657,3,"Private, nonprofit",5,68722,21,132657,Lynn University,13,11,0.7347,41024,0.604197901,2,21,1
1304,Educational Administration and Supervision.,132657,3,"Private, nonprofit",6,83158,22,132657,Lynn University,13,11,0.7347,41024,0.604197901,2,21,1
2601,"Biology, General.",132657,1,"Private, nonprofit",3,38783,23,132657,Lynn University,13,11,0.7347,41024,0.604197901,2,21,1
3105,"Sports, Kinesiology, and Physical Education/Fitness.",132657,1,"Private, nonprofit",3,41209,20,132657,Lynn University,13,11,0.7347,41024,0.604197901,2,21,1
4201,"Psychology, General.",132657,2,"Private, nonprofit",3,47373,25,132657,Lynn University,13,11,0.7347,41024,0.604197901,2,21,1
4301,Criminal Justice and Corrections.,132657,2,"Private, nonprofit",3,68824,21,132657,Lynn University,13,11,0.7347,41024,0.604197901,2,21,1
5202,"Business Administration, Management and Operations.",132657,3,"Private, nonprofit",3,72802,22,132657,Lynn University,13,11,0.7347,41024,0.604197901,2,21,1
5202,"Business Administration, Management and Operations.",132657,2,"Private, nonprofit",5,77699,247,132657,Lynn University,13,11,0.7347,41024,0.604197901,2,21,1
5211,International Business.,132657,2,"Private, nonprofit",3,74456,23,132657,Lynn University,13,11,0.7347,41024,0.604197901,2,21,1
5219,"Specialized Sales, Merchandising and  Marketing Operations.",132657,1,"Private, nonprofit",3,55029,22,132657,Lynn University,13,11,0.7347,41024,0.604197901,2,21,1
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",132675,1,Public,1,52815,24,132675,North Florida Technical College,32,-2,,17719,,1,29,1
1104,Information Science/Studies.,132693,1,Public,3,70869,43,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
2203,Legal Support Services.,132693,1,Public,2,33748,18,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132693,1,Public,2,42428,1032,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
4301,Criminal Justice and Corrections.,132693,1,Public,1,56068,68,132693,Eastern Florida State College,13,12,,22005,0.8466486121,1,25,1
