code,title,unit_id,distance,school_type,credential_level,school_city,location_lat,location_lon,locale,carnegie_size_setting,median_family_income,students_with_pell_grant,age_entry,title_iv_eligibility_type,actual,pred,school_name,4_yr_working_count,error,school_count,confidence,pct_error,score
1205,Culinary Arts and Related Services.,132374,1,Public,1,Coconut Creek,26.24278,-80.192271,21,-2,16748.0,,26.0,1,22265.0,28716.123,Atlantic Technical College,28,-6451.123046875,6,medium,-0.22465160204058382,-0.214742110025278
4603,Electrical and Power Transmission Installers.,132374,2,Public,1,Coconut Creek,26.24278,-80.192271,21,-2,16748.0,,26.0,1,41177.000000000015,38297.2,Atlantic Technical College,27,2879.8007812500146,5,low,0.07519611982069141,0.07174035071461282
4702,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",132374,1,Public,1,Coconut Creek,26.24278,-80.192271,21,-2,16748.0,,26.0,1,47325.00000000001,40012.48,Atlantic Technical College,48,7312.519531250007,13,medium,0.18275596627809992,0.17840787963707178
4706,Vehicle Maintenance and Repair Technologies/Technicians.,132374,1,Public,1,Coconut Creek,26.24278,-80.192271,21,-2,16748.0,,26.0,1,42838.99999999996,49987.184,Atlantic Technical College,28,-7148.183593750036,24,high,-0.14300032688066444,-0.13669251253819617
5108,Allied Health and Medical Assisting Services.,132374,1,Public,1,Coconut Creek,26.24278,-80.192271,21,-2,16748.0,,26.0,1,33080.999999999985,34389.223,Atlantic Technical College,29,-1308.2226562500146,33,high,-0.038041646632342656,-0.036428860556167016
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",132374,1,Public,1,Coconut Creek,26.24278,-80.192271,21,-2,16748.0,,26.0,1,55723.99999999997,56143.92,Atlantic Technical College,46,-419.9218750000291,47,high,-0.007479382646886548,-0.007292450809561382
3906,Theological and Ministerial Studies.,132408,3,"Private, nonprofit",3,Graceville,30.962708,-85.503931,42,7,33739.0,0.7795698925,26.0,1,42321.99999999996,46065.812,Baptist University of Florida,30,-3743.8125000000364,4,low,-0.08127095337784472,-0.07795525543619257
1101,"Computer and Information Sciences, General.",132471,2,"Private, nonprofit",3,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,65950.99999999996,101501.53,Barry University,32,-35550.531250000044,19,high,-0.3502462555213919,-0.33696719287443844
1304,Educational Administration and Supervision.,132471,2,"Private, nonprofit",5,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,79566.99999999994,73753.15,Barry University,91,5813.851562499942,20,high,0.07882852035024274,0.07793852918968462
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132471,2,"Private, nonprofit",5,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,69283.99999999999,66111.26,Barry University,20,3172.7421874999854,8,medium,0.047990951805792124,0.04491138497818779
2201,Law.,132471,1,"Private, nonprofit",7,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,82024.00000000001,96618.18,Barry University,302,-14594.179687499985,8,medium,-0.15105003773309664,-0.15062924493908536
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132471,1,"Private, nonprofit",3,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,51734.00000000003,59662.39,Barry University,44,-7928.390624999971,12,medium,-0.13288757862273426,-0.12939124627310178
2601,"Biology, General.",132471,1,"Private, nonprofit",3,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,60470.99999999997,57249.188,Barry University,41,3221.812499999971,24,high,0.05627699956440379,0.05467068215602745
3105,"Sports, Kinesiology, and Physical Education/Fitness.",132471,1,"Private, nonprofit",3,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,47018.99999999997,56074.516,Barry University,26,-9055.51562500003,18,high,-0.161490750728175,-0.15374742475448885
3105,"Sports, Kinesiology, and Physical Education/Fitness.",132471,2,"Private, nonprofit",5,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,56461.99999999997,64088.297,Barry University,29,-7626.296875000029,6,medium,-0.11899671620037927,-0.1139518176749976
4201,"Psychology, General.",132471,1,"Private, nonprofit",3,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,44015.99999999998,57618.03,Barry University,29,-13602.031250000022,29,high,-0.2360724751420593,-0.22606411760283185
4228,"Clinical, Counseling and Applied Psychology.",132471,1,"Private, nonprofit",5,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,57962.000000000015,63994.97,Barry University,55,-6032.968749999985,9,medium,-0.09427254779306359,-0.09235732445475962
4404,Public Administration.,132471,2,"Private, nonprofit",3,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,97701.99999999994,62052.438,Barry University,70,35649.56249999994,7,medium,0.5745070449488779,0.565693876673758
4404,Public Administration.,132471,2,"Private, nonprofit",5,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,81624.99999999996,82871.42,Barry University,111,-1246.4218750000437,10,medium,-0.015040430667161684,-0.014905831765020954
4407,Social Work.,132471,2,"Private, nonprofit",5,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,64500.00000000002,71976.945,Barry University,226,-7476.945312499978,9,medium,-0.10387972537647387,-0.10347442107312314
5107,Health and Medical Administrative Services.,132471,2,"Private, nonprofit",3,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,89971.00000000003,61874.57,Barry University,27,28096.42968750003,18,high,0.45408686550222305,0.43321850999371386
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132471,1,"Private, nonprofit",3,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,134968.0,70520.055,Barry University,30,64447.9453125,7,medium,0.91389528266948,0.8766101201152178
5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",132471,1,"Private, nonprofit",5,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,127659.99999999996,130557.58,Barry University,167,-2897.5781250000437,9,medium,-0.02219387159760125,-0.02207065603058953
5112,Medicine.,132471,1,"Private, nonprofit",7,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,111889.99999999993,85815.33,Barry University,85,26074.671874999927,7,medium,0.30384632261755307,0.3001310378426144
5123,Rehabilitation and Therapeutic Professions.,132471,2,"Private, nonprofit",5,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,75401.99999999994,73448.09,Barry University,66,1953.9062499999418,9,medium,0.02660254542004287,0.026165456234904346
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,1,"Private, nonprofit",3,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,93607.99999999999,81663.61,Barry University,164,11944.390624999985,57,high,0.1462633199342346,0.14543392866455662
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,1,"Private, nonprofit",5,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,145767.00000000003,124537.22,Barry University,212,21229.78125000003,18,high,0.17046937022591915,0.1697528362353544
5138,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",132471,2,"Private, nonprofit",6,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,138165.99999999988,133617.97,Barry University,29,4548.031249999884,8,medium,0.03403757213604464,0.032594539899864695
5202,"Business Administration, Management and Operations.",132471,2,"Private, nonprofit",3,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,64210.00000000001,74567.17,Barry University,197,-10357.171874999993,58,high,-0.13889720656647866,-0.1382612586500262
5202,"Business Administration, Management and Operations.",132471,2,"Private, nonprofit",5,Miami,25.878908,-80.198925,21,13,28822.0,0.7126805778,26.0,1,84090.00000000004,80272.195,Barry University,92,3817.8046875000437,35,high,0.04756073597635288,0.04703058424009285
0901,Communication and Media Studies.,132602,1,"Private, nonprofit",3,Daytona Beach,29.207195,-81.032946,13,11,22913.0,0.866638796,20.0,1,30852.000000000004,49103.438,Bethune-Cookman University,27,-18251.437499999996,15,medium,-0.3716936823414857,-0.3546118495631028
