code,credential_level,unit_id,distance,school_type,5_yr_working_count,location_lat,location_lon,locale,carnegie_size_setting,admission_rate_overall,median_family_income,students_with_pell_grant,open_admissions_policy,age_entry,title_iv_eligibility_type,selectivity_bucket,5_year_earning_log,5_year_pred_log,title,school_name,5_year_earning,5_year_pred,5_year_error,4_year_earning,4_year_earning_log,4_year_pred,4_year_pred_log,4_year_error,4_yr_working_count,1_year_earning,1_year_earning_log,1_year_pred,1_year_pred_log,1_year_error,1_yr_working_count,school_count,confidence,1_year_pct_error,1_year_score,4_year_pct_error,4_year_score,5_year_pct_error,5_year_score,rank_1,rank_4,rank_5,move_1_to_4,move_4_to_5,move_1_to_5,rank_std,rank_std_pct,mean_rank_std_pct,median_score
0301,3,133492,1,"Private, nonprofit",56.0,27.715798,-82.687043,11,11,0.758,77695.0,0.4113924051,2,21.0,1,open,10.662913925885341,10.643175,Natural Resources Conservation and Research.,Eckerd College,42741.00000000001,41905.617,835.3828125000073,39931.99999999999,10.594933286456316,50566.96,10.831054,-10634.960937500007,77,25708.999999999993,10.15459640413204,29107.588,10.278754,-3398.5878906250073,94.0,8,medium,-0.11675951656989166,-0.11541991463189413,-0.21031441756297473,-0.20722535986148127,0.01993486478822684,0.019526904896612837,6.0,8.0,3.0,2.0,-5.0,-3.0,2.516611478423583,0.3595159254890833,0.2503130621580458,-0.11541991463189413
0301,3,133951,2,Public,36.0,25.75732,-80.373928,21,15,0.5466,23924.0,0.8131269705,2,23.0,1,mid,10.74507628970625,10.783957,Natural Resources Conservation and Research.,Florida International University,46400.99999999999,48240.61,-1839.6093750000073,49747.999999999985,10.814725540773631,55158.484,10.917966,-5410.484375000015,24,36006.99999999997,10.49146864298082,33721.535,10.425892,2285.464843749971,21.0,8,medium,0.0677746381699464,0.06345226691116959,-0.0980897940961601,-0.09262029942148305,-0.03813404098401291,-0.03683523900236702,2.0,7.0,6.0,5.0,-1.0,4.0,2.6457513110645907,0.37796447300922725,0.2503130621580458,-0.03683523900236702
0301,3,134097,1,Public,78.0,30.443147,-84.295064,12,15,0.2422,43729.0,0.5975318884,2,20.0,1,elite,10.780704760424145,10.786012,Natural Resources Conservation and Research.,Florida State University,48084.00000000001,48339.85,-255.85156249999272,54287.99999999996,10.90205848702401,52498.2,10.868534,1789.8007812499636,188,30146.000000000004,10.313807523370475,36875.71,10.515308,-6729.710937499996,161.0,8,medium,-0.18249711711066577,-0.1813800790347307,0.03409261284929421,0.033915872693779936,-0.005292766821370868,-0.005219124628041506,7.0,5.0,5.0,-2.0,0.0,-2.0,1.1547005383792517,0.16495721976846453,0.2503130621580458,-0.005219124628041506
0301,3,134130,1,Public,28.0,29.64629,-82.347911,12,16,0.242,39127.0,0.6673828964,2,21.0,1,elite,10.895108366626053,10.878085,Natural Resources Conservation and Research.,University of Florida,53911.999999999985,53002.01,909.9882812499854,62682.99999999996,11.045845557481588,57587.316,10.961058,5095.683593749964,29,34454.00000000002,10.447380380006315,36076.906,10.493408,-1622.9062499999782,29.0,8,medium,-0.04498462919059137,-0.04298039017549076,0.08848621383574187,0.0844914777830599,0.017168938531592903,0.01639123001766444,5.0,3.0,4.0,-2.0,1.0,-1.0,1.0,0.14285714285714285,0.2503130621580458,0.01639123001766444
0301,3,136950,1,"Private, nonprofit",29.0,28.592787,-81.349239,21,11,0.4754,43978.0,0.58,2,22.0,1,mid,10.517050253753231,10.832608,Natural Resources Conservation and Research.,Rollins College,36940.00000000001,50645.63,-13705.628906249993,63363.00000000003,11.056635373852252,52899.145,10.8761425,10463.85546875003,23,22352.000000000007,10.014671081496743,34313.71,10.4433,-11961.710937499993,18.0,8,medium,-0.3485985808788622,-0.3223157056063532,0.19780765003805573,0.18624677931141295,-0.2706181994821399,-0.2588352398628083,8.0,2.0,8.0,-6.0,6.0,0.0,3.4641016151377544,0.4948716593053935,0.2503130621580458,-0.2588352398628083
0301,3,137351,1,Public,133.0,28.061458,-82.413232,11,15,0.4319,32495.0,0.6858996244,2,22.0,1,mid,10.812753669473318,10.743152,Natural Resources Conservation and Research.,University of South Florida,49649.999999999985,46311.78,3338.2187499999854,53991.00000000001,10.896572644989313,51360.727,10.846629,2630.2734375000073,122,36048.000000000015,10.492606662672026,37132.906,10.522259,-1084.9062499999854,134.0,8,medium,-0.029216841867850982,-0.028995280990384602,0.05121176458240465,0.05077210876306616,0.0720814155685274,0.07154378368615652,4.0,4.0,2.0,0.0,-2.0,-2.0,1.1547005383792515,0.1649572197684645,0.2503130621580458,0.05077210876306616
0301,3,138354,2,Public,21.0,30.549076,-87.218511,41,12,0.5824,34583.0,0.6786062378,2,24.0,1,mid,10.83861966554364,10.595456,Natural Resources Conservation and Research.,University of West Florida,50950.99999999996,39952.883,10998.117187499964,50746.00000000003,10.834588076063763,42149.586,10.64898,8596.41406250003,16,37213.999999999985,10.524440313547586,32908.348,10.401482,4305.652343749985,20.0,8,medium,0.1308376947006104,0.12203673244251324,0.2039501426003784,0.18630124094584546,0.27527718685819086,0.2581029716519568,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2503130621580458,0.18630124094584546
0301,3,433660,1,Public,35.0,26.463638,-81.7726,21,16,0.6344,43546.0,0.5981697171,2,21.0,1,mid,10.646471967943246,10.860691,Natural Resources Conservation and Research.,Florida Gulf Coast University,42044.00000000002,52088.062,-10044.062499999978,51264.99999999996,10.84476353710419,53141.758,10.880718,-1876.7578125000364,60,34874.99999999997,10.459525519123666,34453.562,10.447368,421.4374999999709,60.0,8,medium,0.01223204421893878,0.011995270142426046,-0.03531606574102796,-0.03462277482440124,-0.19282849117300108,-0.18604626654840625,3.0,6.0,7.0,3.0,1.0,4.0,2.0816659994661326,0.2973808570665904,0.2503130621580458,-0.03462277482440124
0402,3,133669,0,Public,54.0,26.372421,-80.102978,13,15,0.6613,28064.0,0.7219053052,2,23.0,1,mid,11.073117328439517,10.899892,Architecture.,Florida Atlantic University,64415.99999999995,54170.504,10245.496093749949,64729.99999999994,11.077980051539555,57778.32,10.964369,6951.679687499942,49,46550.99999999999,10.748303764751594,38668.31,10.562776,7882.691406249993,44.0,3,low,0.20385405239897358,0.19820574902640864,0.1203164032789646,0.11733061954633138,0.18913422166943994,0.18509682708789477,2.0,1.0,1.0,-1.0,0.0,-1.0,0.5773502691896257,0.11547005383792515,0.0769800358919501,0.18509682708789477
0402,3,134130,1,Public,73.0,29.64629,-82.347911,12,16,0.242,39127.0,0.6673828964,2,21.0,1,elite,11.037740435424054,11.214223,Architecture.,University of Florida,62177.000000000044,74178.0,-12000.999999999956,67399.00000000003,11.11838545999508,72482.27,11.191097,-5083.273437499971,86,40542.00000000002,10.61009375278023,40494.33,10.608917,47.67187500002183,71.0,3,low,0.0011772482025844658,0.0011585118733541432,-0.070131263775593,-0.06922572628061803,-0.1617865135215287,-0.15935457881127532,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0769800358919501,-0.06922572628061803
