code,title,unit_id,distance,credential.level,repayment.1_yr_bb_fed_comp.count,earnings.1_yr.working_not_enrolled.overall_count,earnings.1_yr.not_working_not_enrolled.overall_count,debt.staff_grad_plus.all.eval_inst.median_payment,id,school.name,latest.academics.program_reporter.programs_offered,latest.academics.program_percentage.agriculture,latest.academics.program_percentage.resources,latest.academics.program_percentage.architecture,latest.academics.program_percentage.ethnic_cultural_gender,latest.academics.program_percentage.communication,latest.academics.program_percentage.communications_technology,latest.academics.program_percentage.computer,latest.academics.program_percentage.personal_culinary,latest.academics.program_percentage.education,latest.academics.program_percentage.engineering,latest.academics.program_percentage.engineering_technology,latest.academics.program_percentage.language,latest.academics.program_percentage.family_consumer_science,latest.academics.program_percentage.legal,latest.academics.program_percentage.english,latest.academics.program_percentage.humanities,latest.academics.program_percentage.library,latest.academics.program_percentage.biological,latest.academics.program_percentage.mathematics,latest.academics.program_percentage.military,latest.academics.program_percentage.multidiscipline,latest.academics.program_percentage.parks_recreation_fitness,latest.academics.program_percentage.philosophy_religious,latest.academics.program_percentage.theology_religious_vocation,latest.academics.program_percentage.physical_science,latest.academics.program_percentage.science_technology,latest.academics.program_percentage.psychology,latest.academics.program_percentage.security_law_enforcement,latest.academics.program_percentage.public_administration_social_service,latest.academics.program_percentage.social_science,latest.academics.program_percentage.construction,latest.academics.program_percentage.mechanic_repair_technology,latest.academics.program_percentage.precision_production,latest.academics.program_percentage.transportation,latest.academics.program_percentage.visual_performing,latest.academics.program_percentage.health,latest.academics.program_percentage.business_marketing,latest.academics.program_percentage.history,latest.school.instructional_expenditure_per_fte,latest.school.faculty_salary,latest.school.ft_faculty_rate,latest.student.demographics.student_faculty_ratio,latest.school.endowment.begin,latest.school.endowment.end,latest.school.dolflag,latest.admissions.admission_rate.overall,latest.school.open_admissions_policy
1205,Culinary Arts and Related Services.,132374,1,1,,22.0,2.0,,132374,Atlantic Technical College,47,0,0,0,0,0,0,0.1043,0.0313,0,0,0.1913,0,0,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765,0.0591,0.033,0,0,0.4017,0.0748,0,19483,,,17,,,1,,1
4603,Electrical and Power Transmission Installers.,132374,2,1,,32.0,1.0,,132374,Atlantic Technical College,47,0,0,0,0,0,0,0.1043,0.0313,0,0,0.1913,0,0,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765,0.0591,0.033,0,0,0.4017,0.0748,0,19483,,,17,,,1,,1
4702,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",132374,1,1,,63.0,5.0,,132374,Atlantic Technical College,47,0,0,0,0,0,0,0.1043,0.0313,0,0,0.1913,0,0,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765,0.0591,0.033,0,0,0.4017,0.0748,0,19483,,,17,,,1,,1
4706,Vehicle Maintenance and Repair Technologies/Technicians.,132374,1,1,,24.0,2.0,,132374,Atlantic Technical College,47,0,0,0,0,0,0,0.1043,0.0313,0,0,0.1913,0,0,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765,0.0591,0.033,0,0,0.4017,0.0748,0,19483,,,17,,,1,,1
5108,Allied Health and Medical Assisting Services.,132374,1,1,,33.0,2.0,,132374,Atlantic Technical College,47,0,0,0,0,0,0,0.1043,0.0313,0,0,0.1913,0,0,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765,0.0591,0.033,0,0,0.4017,0.0748,0,19483,,,17,,,1,,1
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",132374,1,1,,49.0,0.0,,132374,Atlantic Technical College,47,0,0,0,0,0,0,0.1043,0.0313,0,0,0.1913,0,0,0.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765,0.0591,0.033,0,0,0.4017,0.0748,0,19483,,,17,,,1,,1
3906,Theological and Ministerial Studies.,132408,3,3,21.0,21.0,1.0,254.0,132408,Baptist University of Florida,,0,0,0,0,0,0,0,0,0.0556,0,0,0,0,0,0.037,0.2407,0,0,0,0,0,0,0,0.3519,0,0,0.1667,0,0,0,0,0,0,0,0.1111,0,0.0185,0.0185,9992,5515,1,8,8589732,7970708,0,0.3599,2
4201,"Psychology, General.",132408,3,3,13.0,,1.0,,132408,Baptist University of Florida,,0,0,0,0,0,0,0,0,0.0556,0,0,0,0,0,0.037,0.2407,0,0,0,0,0,0,0,0.3519,0,0,0.1667,0,0,0,0,0,0,0,0.1111,0,0.0185,0.0185,9992,5515,1,8,8589732,7970708,0,0.3599,2
1101,"Computer and Information Sciences, General.",132471,2,3,34.0,31.0,4.0,294.0,132471,Barry University,,0,0,0,0,0.0366,0,0.0539,0,0.0173,0,0,0,0,0.0077,0.0019,0.0135,0,0.1522,0.0019,0,0,0.0405,0.0019,0.0019,0.0096,0,0.0636,0.0289,0.0829,0.0385,0,0,0,0,0.0366,0.2216,0.1888,0,11546,8861,0.283,7,53988781,58752320,0,0.7724,2
1304,Educational Administration and Supervision.,132471,2,5,83.0,92.0,1.0,583.0,132471,Barry University,,0,0,0,0,0.0366,0,0.0539,0,0.0173,0,0,0,0,0.0077,0.0019,0.0135,0,0.1522,0.0019,0,0,0.0405,0.0019,0.0019,0.0096,0,0.0636,0.0289,0.0829,0.0385,0,0,0,0,0.0366,0.2216,0.1888,0,11546,8861,0.283,7,53988781,58752320,0,0.7724,2
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132471,2,5,23.0,,1.0,,132471,Barry University,,0,0,0,0,0.0366,0,0.0539,0,0.0173,0,0,0,0,0.0077,0.0019,0.0135,0,0.1522,0.0019,0,0,0.0405,0.0019,0.0019,0.0096,0,0.0636,0.0289,0.0829,0.0385,0,0,0,0,0.0366,0.2216,0.1888,0,11546,8861,0.283,7,53988781,58752320,0,0.7724,2
2201,Law.,132471,1,7,291.0,288.0,19.0,1757.0,132471,Barry University,,0,0,0,0,0.0366,0,0.0539,0,0.0173,0,0,0,0,0.0077,0.0019,0.0135,0,0.1522,0.0019,0,0,0.0405,0.0019,0.0019,0.0096,0,0.0636,0.0289,0.0829,0.0385,0,0,0,0,0.0366,0.2216,0.1888,0,11546,8861,0.283,7,53988781,58752320,0,0.7724,2
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132471,1,3,37.0,29.0,1.0,404.0,132471,Barry University,,0,0,0,0,0.0366,0,0.0539,0,0.0173,0,0,0,0,0.0077,0.0019,0.0135,0,0.1522,0.0019,0,0,0.0405,0.0019,0.0019,0.0096,0,0.0636,0.0289,0.0829,0.0385,0,0,0,0,0.0366,0.2216,0.1888,0,11546,8861,0.283,7,53988781,58752320,0,0.7724,2
2601,"Biology, General.",132471,1,3,61.0,53.0,4.0,315.0,132471,Barry University,,0,0,0,0,0.0366,0,0.0539,0,0.0173,0,0,0,0,0.0077,0.0019,0.0135,0,0.1522,0.0019,0,0,0.0405,0.0019,0.0019,0.0096,0,0.0636,0.0289,0.0829,0.0385,0,0,0,0,0.0366,0.2216,0.1888,0,11546,8861,0.283,7,53988781,58752320,0,0.7724,2
2699,"Biological and Biomedical Sciences, Other.",132471,1,5,147.0,80.0,19.0,720.0,132471,Barry University,,0,0,0,0,0.0366,0,0.0539,0,0.0173,0,0,0,0,0.0077,0.0019,0.0135,0,0.1522,0.0019,0,0,0.0405,0.0019,0.0019,0.0096,0,0.0636,0.0289,0.0829,0.0385,0,0,0,0,0.0366,0.2216,0.1888,0,11546,8861,0.283,7,53988781,58752320,0,0.7724,2
