code,title,unit_id,distance,school.type,credential.level,earnings.1_yr.overall_median_earnings,earnings.1_yr.working_not_enrolled.overall_count,earnings.4_yr.overall_median_earnings,earnings.4_yr.working_not_enrolled.overall_count,earnings.5_yr.overall_median_earnings,earnings.5_yr.working_not_enrolled.overall_count,id,school.name,location.lat,location.lon,latest.school.locale,latest.school.carnegie_size_setting,latest.admissions.admission_rate.overall,latest.student.demographics.median_family_income,latest.student.students_with_pell_grant,latest.school.open_admissions_policy,latest.student.demographics.age_entry,latest.school.title_iv.eligibility_type
1205,Culinary Arts and Related Services.,132374,1,Public,1,25586.0,22.0,22265,28,33286.0,21.0,132374,Atlantic Technical College,26.24278,-80.192271,21,-2,,16748,,1,26,1
4603,Electrical and Power Transmission Installers.,132374,2,Public,1,29493.0,32.0,41177,27,,,132374,Atlantic Technical College,26.24278,-80.192271,21,-2,,16748,,1,26,1
4702,"Heating, Air Conditioning, Ventilation and Refrigeration Maintenance Technology/Technician (HAC, HACR, HVAC, HVACR).",132374,1,Public,1,36966.0,63.0,47325,48,,,132374,Atlantic Technical College,26.24278,-80.192271,21,-2,,16748,,1,26,1
4706,Vehicle Maintenance and Repair Technologies/Technicians.,132374,1,Public,1,34269.0,24.0,42839,28,,,132374,Atlantic Technical College,26.24278,-80.192271,21,-2,,16748,,1,26,1
5108,Allied Health and Medical Assisting Services.,132374,1,Public,1,32976.0,33.0,33081,29,,,132374,Atlantic Technical College,26.24278,-80.192271,21,-2,,16748,,1,26,1
5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",132374,1,Public,1,46267.0,49.0,55724,46,,,132374,Atlantic Technical College,26.24278,-80.192271,21,-2,,16748,,1,26,1
3906,Theological and Ministerial Studies.,132408,3,"Private, nonprofit",3,34350.0,21.0,42322,30,,,132408,Baptist University of Florida,30.962708,-85.503931,42,7,0.3599,33739,0.7795698925,2,26,1
4201,"Psychology, General.",132408,3,"Private, nonprofit",3,,,40963,16,,,132408,Baptist University of Florida,30.962708,-85.503931,42,7,0.3599,33739,0.7795698925,2,26,1
1101,"Computer and Information Sciences, General.",132471,2,"Private, nonprofit",3,46503.0,31.0,65951,32,61668.0,68.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
1304,Educational Administration and Supervision.,132471,2,"Private, nonprofit",5,65063.0,92.0,79567,91,78169.0,86.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
1313,"Teacher Education and Professional Development, Specific Subject Areas.",132471,2,"Private, nonprofit",5,,,69284,20,67477.0,46.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
2201,Law.,132471,1,"Private, nonprofit",7,51099.0,288.0,82024,302,77820.0,204.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
2401,"Liberal Arts and Sciences, General Studies and Humanities.",132471,1,"Private, nonprofit",3,46015.0,29.0,51734,44,44985.0,37.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
2601,"Biology, General.",132471,1,"Private, nonprofit",3,32556.0,53.0,60471,41,52013.0,47.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
2699,"Biological and Biomedical Sciences, Other.",132471,1,"Private, nonprofit",5,19689.0,80.0,64792,37,59270.0,63.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
3105,"Sports, Kinesiology, and Physical Education/Fitness.",132471,1,"Private, nonprofit",3,,,47019,26,49205.0,21.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
3105,"Sports, Kinesiology, and Physical Education/Fitness.",132471,2,"Private, nonprofit",5,40439.0,31.0,56462,29,52174.0,27.0,132471,Barry University,25.878908,-80.198925,21,13,0.7724,28822,0.7126805778,2,26,1
